"1","2e713e","moderately","somewhat","moderately","extremely","moderately","somewhat","extremely","moderately","extremely","moderately","moderately","somewhat","moderately","moderately","moderately","moderately","64"
"2","b40493","somewhat","somewhat","moderately","moderately","somewhat","somewhat","moderately","somewhat","moderately","slightly","slightly","somewhat","not","slightly","slightly","somewhat","110"
"3","cbd05f","moderately","moderately","extremely","moderately","somewhat","slightly","moderately","moderately","moderately","slightly","somewhat","slightly","not","moderately","moderately","moderately","122"
"4","c9b4","moderately","extremely","somewhat","moderately","moderately","not","extremely","moderately","moderately","somewhat","slightly","slightly","not","moderately","extremely","extremely","94"
"5","eaefae","slightly","not","slightly","slightly","somewhat","slightly","not","slightly","slightly","slightly","not","not","not","slightly","slightly","slightly","62"
"6","67aab1","moderately","somewhat","moderately","moderately","somewhat","somewhat","moderately","extremely","moderately","moderately","moderately","moderately","moderately","somewhat","slightly","slightly","79"
"7","9246","moderately","moderately","somewhat","moderately","moderately","somewhat","moderately","moderately","moderately","moderately","somewhat","somewhat","slightly","moderately","moderately","somewhat","114"
"8","24d8","extremely","extremely","extremely","extremely","extremely","extremely","extremely","extremely","extremely","extremely","extremely","extremely","moderately","extremely","somewhat","extremely","58"
"9","ef8f8e","somewhat","somewhat","somewhat","slightly","somewhat","slightly","not","somewhat","moderately","somewhat","somewhat","slightly","not","somewhat","moderately","moderately","131"
"10","3ba38e","moderately","moderately","somewhat","extremely","moderately","moderately","somewhat","moderately","somewhat","somewhat","moderately","moderately","moderately","extremely","extremely","moderately","54"
"11","27e0","somewhat","moderately","somewhat","moderately","slightly","not","slightly","somewhat","moderately","somewhat","slightly","slightly","somewhat","slightly","slightly","somewhat","112"
