"24d8","8","8","8","8","8","8","8","8","72.201.74.74","1815"
"27e0","11","11","11","11","11","11","11","11","69.254.158.243","1712"
"2e713e","2","2","1","1","1","2","3","3","104.35.119.73","2197"
"3ba38e","10","10","10","10","10","10","10","10","71.8.28.236","1639"
"67aab1","6","6","6","6","6","4","4","4","66.30.28.179","2199"
"9246","7","7","7","7","7","7","6","6","99.115.12.204","2441"
"b40493","1","1","2","2","2","1","1","1","65.78.112.18","1488"
"c9b4","4","4","4","4","5","3","7","7","68.207.224.22","2605"
"cbd05f","3","3","3","3","3","6","5","5","108.192.96.145","2356"
"eaefae","5","5","5","5","4","5","2","2","75.88.28.117","1885"
"ef8f8e","9","9","9","9","9","9","9","9","67.180.47.254","1442"
